"Menu Item ID","Parent 1","Parent 2","Parent 3","Parent 4","Menu Number","Menu Item Number","Levels","Label","Label","Content"
"a1L360000010BIF","Café Especial - Comercio Justo.","Café Especial - Sostenible.","Sellos de Café Especial en el Mundo.","CAFÉS ESPECIALES.","M-0000000000","MI-0000000330","5","CULTIVO DE CAFÉ.","Objetivo de café Comercio Justo.","El sello de comercio justo es una forma de cooperación comercial con el fin de mejorar las posibilidades de pequeños productores y sus organizaciones para sobrevivir en la competencia económica internacional. En el sistema se ofrecen relaciones comerciales de largo plazo, la posibilidad de recibir pagos anticipados y un precio que cubra todos los gastos de producción. Las compras se hacen sin intermediarios innecesarios. La justicia y el respeto de los derechos humanos conforman la base de la cooperación. Mientras la situación social y económica de los productores mejora, también es posible tener en cuenta la situación ecológica y así fomentar el desarrollo sostenible. 

(CENICAFE, 2007)"
"a1L360000010BIK","Café Especial - Comercio Justo.","Café Especial - Sostenible.","Sellos de Café Especial en el Mundo.","CAFÉS ESPECIALES.","M-0000000000","MI-0000000331","5","CULTIVO DE CAFÉ.","Compromisos del caficultor.","?	La posibilidad de un comercio directo y justo con los productores el tercer mundo. 
?	Los productores reciben una recompensa que cubre los costos de la producción. 
?	Los productores se comprometen a cumplir los acuerdos básicos de la Organización Internacional del Trabajo (OIT), la Declaración Universal de los Derechos Humanos de la ONU y la Declaración de los Derechos del Niño. 
?	Se garantizan a los productores acuerdos de largo plazo y la posibilidad de recibir prepagos. 
?	Los productos se compran directamente a las organizaciones productoras sin intermediarios innecesarios. 
?	El sistema ofrece a los pequeños agricultores y a las fincas familiares una posibilidad de tomar parte en el comercio. 
?	Los trabajadores tienen el derecho de organizarse y sindicalizarse. 
?	Los productores se comprometen a cumplir las normas de protección del medio ambiente. 
?	Los productos deben elaborarse sin el empleo de mano de obra infantil. Es prohibido que niños menores de 14 años trabajen. 
?	El productor recibe un pago adicional si su café proviene de la producción orgánica. 

(CENICAFE, 2007)"
"a1L360000010BI5","Café Especial - Comercio Justo.","Café Especial - Sostenible.","Sellos de Café Especial en el Mundo.","CAFÉS ESPECIALES.","M-0000000000","MI-0000000329","5","CULTIVO DE CAFÉ.","Características del café Comercio Justo.","Son cafés producidos por pequeños productores asociados en cooperativas y que tienen un precio mínimo de compra garantizado. Las relaciones comerciales están basadas en el respeto y beneficio mutuo de las partes. Se valora el trabajo de los productores, las leyes laborales, la seguridad social, la salubridad y el respeto por la conservación de los recursos naturales. 

(CENICAFE, 2007)"
"a1L360000010BEl","Café Especial - Amigables con las Aves.","Café Especial - Sostenible.","Sellos de Café Especial en el Mundo.","CAFÉS ESPECIALES.","M-0000000000","MI-0000000323","5","CULTIVO DE CAFÉ.","Requisitos.","Para tramitar el sello debe contarse primero con certificaciones orgánicas y de cultivo bajo sombra. El Centro promueve la reconversión de las fincas al cultivo bajo sombra y después al Amigable con las Aves. Además, ha emitido una serie de definiciones y criterios generales para la certificación. 

(CENICAFE, 2007)"
"a1L360000010BEb","Café Especial - Amigables con las Aves.","Café Especial - Sostenible.","Sellos de Café Especial en el Mundo.","CAFÉS ESPECIALES.","M-0000000000","MI-0000000322","5","CULTIVO DE CAFÉ.","Características del café Amigables con las aves.","Este café crece y se cultiva a la sombra de una cubierta arbórea, en contraste con las fincas cafeteras en las que el café se cultiva a plena exposición solar, o aquellas completamente tecnificadas que tienen muy pocos árboles o carecen de ellos totalmente. 

El café producido de forma sostenible debe provenir de una plantación con alta diversidad biológica y con un uso limitado de sustancias químicas. En los sistemas de producción deben conservarse los recursos existentes, proteger el ambiente, producir con eficiencia, competir en el mercado e impulsar la calidad de vida de los productores y de la sociedad en su conjunto.

En 1998 se creó el programa para conceder la licencia a importadores, tostadores y comercializadores en el uso del sello ?Bird Friendly?, con el cual se garantiza un apoyo de 25 centavos por libra al café tostado con certificación. Este dinero se envía al SMBC y se destina para proyectos de investigación, estudios en proceso, entrenamiento y educación para productores y consumidores sobre temas del cultivo de café bajo sombra. 

(CENICAFE, 2007)"
"a1L360000010BEM","Café Especial - Orgánicos.","Café Especial - Sostenible.","Sellos de Café Especial en el Mundo.","CAFÉS ESPECIALES.","M-0000000000","MI-0000000320","5","CULTIVO DE CAFÉ.","Objetivos de los Orgánicos.","?	Ofrecer una caficultura económicamente viable, socialmente justa y ambientalmente responsable. 
?	Propiciar un efecto multiplicador sobre el desarrollo local, regional y nacional. 
?	Conservar y mantener la mayor diversidad biológica dentro de los ecosistemas cafeteros. 
?	Fomentar los ciclos biológicos dentro de los sistemas cafeteros, y mantener y aumentar la fertilidad de los suelos mediante prácticas adecuadas de conservación. 
?	Aprovechar racionalmente los recursos renovables de la finca y evitar todas las formas de contaminación ambiental, producto de las prácticas de cultivo y beneficio del café. 
?	Producir café de excelente calidad y en cantidad tal que satisfaga los mercados externos e internos. 

(CENICAFE, 2007)"
"a1L360000010BEH","Café Especial - Orgánicos.","Café Especial - Sostenible.","Sellos de Café Especial en el Mundo.","CAFÉS ESPECIALES.","M-0000000000","MI-0000000319","5","CULTIVO DE CAFÉ.","Características de los Orgánicos.","Son los cafés cultivados sin la utilización de productos Agroquímicos como fungicidas, herbicidas, insecticidas y fertilizantes. Normalmente, se comercializan con una certificación expedida por una firma especializada, encargada de inspeccionar y vigilar las prácticas del cultivo, su proceso de trilla, almacenamiento y transporte. (CENICAFE, 2007)

Toda finca cafetera que desee comercializar su café bajo la denominación de orgánico deberá someterse a un proceso de certificación por un organismo certificador. Las fincas deberán poseer una ficha histórica, un plan de producción y un mapa. Para la certificación de una finca cafetera como orgánica es necesario tener registros de las compras de insumos (empaque, abonos), mano de obra, volumen de café pergamino seco producido, facturas de venta del café y haber cumplido con el período de conversión. 

(CENICAFE, 2007)"
"a1L360000010BF0","Café Especial - UTZ.","Café Especial - Sostenible.","Sellos de Café Especial en el Mundo.","CAFÉS ESPECIALES.","M-0000000000","MI-0000000326","5","CULTIVO DE CAFÉ.","Características del Café UTZ.","Este código contiene criterios para el manejo de suelos, el uso de fertilizantes, el manejo integrado de pesticidas, el manejo de residuos de polución, la salud de los trabajadores, la seguridad y el bienestar, y otros aspectos socioeconómicos y culturales. Utz Certified tiene como objetivos garantizar el acceso a los servicios sociales básicos, guiar a los productores para armonizar los estándares para la producción de café sostenible y proporcionar la asistencia para la aplicación de estos estándares. La fundación registra a los productores interesados y proporciona el código de conducta; así mismo, establece contacto con una agencia de certificación independiente, la cual realiza las inspecciones y otorga el certificado si se cumplen los estándares y como contraprestación los tostadores pagan una cuota de US$ 0, 01/kg para la fundación. 

(CENICAFE, 2007)"
"a1L360000010BIU","Café Especial - 4C.","Café Especial - Sostenible.","Sellos de Café Especial en el Mundo.","CAFÉS ESPECIALES.","M-0000000000","MI-0000000333","5","CULTIVO DE CAFÉ.","Características del café 4C.","La Asociación 4C es la plataforma que reúne a las partes interesadas del sector del café para tratar los temas de la sostenibilidad con un enfoque precompetitivo.

Hasta la fecha, más de 225 miembros ya se han sumado a la plataforma de 4C, entre ellos:

?	organizaciones de caficultores
?	comercializadoras (importadoras y exportadoras)
?	representantes de la industria (tostadoras y minoristas)
?	organizaciones de la sociedad civil

Esta comunidad global trabaja unida para mejorar las condiciones económicas, sociales y ambientales de quienes se ganan la vida con el café. 

El Código de Conducta de 4C es una herramienta que permite dar asistencia a los agricultores en el proceso de aplicación de mejores prácticas agrícolas, de procesamiento y de gestión. Asimismo, con la ayuda de las Unidades 4C, los agricultores y otros socios de negocio crean puentes para hacer llegar información, herramientas y capacitación para los siguientes fines:

?	Aumentar los rendimientos mediante la aplicación de mejores prácticas agrícolas y el acceso a nuevas tecnologías, materiales para plantar, etc.
?	Mejorar la calidad del café cosechando granos de mejor calidad o procesándolos, secándolos y almacenándolos correctamente para preservar la calidad.
?	Reducir al mínimo y hacer el mejor uso posible de los pesticidas y los fertilizantes aprobados, y aplicar estrategias integrales de gestión de plagas a fin de mitigar los daños al medio ambiente y bajar los costos.
?	Mantener registros de las actividades de producción, con vistas a monitorear los costos y a identificar oportunidades para aumentar la eficiencia.
?	Impulsar el desarrollo organizativo y la capacidad de gestión de los grupos de agricultores, para mejorar la prestación de servicios.
La adopción de estas prácticas contribuye a incrementar el ingreso neto de los caficultores mediante la mejora de la calidad, la reducción de costos, la mayor eficiencia y la optimización de la cadena de suministro.

(4C-ASSOCIATION, 2012)"
"a1L360000010BI0","Café Especial - Rainforest Alliance.","Café Especial - Sostenible.","Sellos de Café Especial en el Mundo.","CAFÉS ESPECIALES.","M-0000000000","MI-0000000328","5","CULTIVO DE CAFÉ.","Características del café Rainforest Alliance.","La Rainforest Alliance (RA) propende por la protección de los ecosistemas y las personas, así como la vida silvestre que en ellos habita, al transformar las prácticas en el uso de la tierra, en la industria y en el comportamiento de los consumidores. Las empresas, las cooperativas y los caficultores que participan en los programas RA deben cumplir con rigurosos estándares que conservan la biodiversidad y proveen medios de vida sostenibles como:

?	La planificación, la ejecución y el monitoreo del sistema de gestión socio-ambiental. 
?	La conservación de ecosistemas. 
?	La protección de la vida silvestre. 
?	La conservación de recursos hídricos. 
?	El trato justo y las buenas condiciones para los trabajadores. 
?	Las relaciones con la comunidad. 
?	 El manejo integrado del cultivo. 
?	El manejo y conservación del suelo. 
?	 El manejo integrado de desechos."
