"","x"
"1","FORMAS DE ACCI<U+FFFD> DE LOS BIOPREPARADOS"
"2","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Sellos de Caf<U+FFFD>Especial en el Mundo Caf<U+FFFD>Especial - Verificaciones Caracter<U+FFFD>ticas de la Verificaci<U+FFFD> Starbucks - Cafe Practices"
"3","ALTERNATIVAS DE BIOPREPARADOS Biofungicidas Infusi<U+FFFD> de Manzanilla"
"4","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Humus L<U+FFFD>uido"
"5","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Pur<U+FFFD> Fermentado de Ortiga"
"6","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Sellos de Caf<U+FFFD>Especial en el Mundo Caf<U+FFFD>Especial - Sostenible Caf<U+FFFD>Especial - Amigables con las Aves Requisitos"
"7","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL ENFERMEDADES DEL CAF<U+FFFD>Llagas Caracter<U+FFFD>ticas de Llagas"
"8","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL ENFERMEDADES DEL CAF<U+FFFD>Colletotrichum sp. Caracter<U+FFFD>ticas del Colletotrichum sp."
"9","ALTERNATIVAS DE BIOPREPARADOS Bioinsecticidas Infusi<U+FFFD> de Ruda y Hojas de Salvia"
"10","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Minador Control del Minador Control qu<U+FFFD>ico"
"11","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Babosas Control de la Babosa Control qu<U+FFFD>ico"
"12","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Babosas Caracter<U+FFFD>ticas de la Babosa"
"13","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Fertilizaci<U+FFFD>. Importante."
"14","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Manejo de suelos"
"15","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Fertilizaci<U+FFFD>"
"16","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Fertilizaci<U+FFFD>. Fertilizaci<U+FFFD> Qu<U+FFFD>ica. Fertilizaci<U+FFFD> en Producci<U+FFFD>."
"17","Descripci<U+FFFD> General y Construcci<U+FFFD>"
"18","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Sitio. Suelos."
"19","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Sitio. Clima."
"20","CULTIVO DE CAF<U+FFFD> GENERALIDADES DEL CAF<U+FFFD> MORFOLOG<U+FFFD>. Flor. Floraci<U+FFFD> zonas cafeteras"
"21","CULTIVO DE CAF<U+FFFD> GENERALIDADES DEL CAF<U+FFFD> ORIGEN DEL CAF<U+FFFD>"
"22","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Palomillas Control de la Palomilla Control qu<U+FFFD>ico"
"23","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Definiciones y Conceptos"
"24","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Sellos de Caf<U+FFFD>Especial en el Mundo Caf<U+FFFD>Especial - Sostenible Caf<U+FFFD>Especial - Comercio Justo Caracter<U+FFFD>ticas del caf<U+FFFD>Comercio Justo"
"25","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL ENFERMEDADES DEL CAF<U+FFFD>Roya Caracter<U+FFFD>ticas de la Roya"
"26","CULTIVO DE CAFE GENERALIDADES DEL CAFE TAXONOM<U+FFFD> DEL CAFE"
"27","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Caf<U+FFFD> Especiales Caf<U+FFFD>Descafeinado"
"28","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Competencia del caf<U+FFFD> Arvenses."
"29","CULTIVO DE CAFE GENERALIDADES DEL CAFE FASE VEGETATIVA DEL CAF<U+FFFD>Generalidades"
"30","CULTIVO DE CAFE GENERALIDADES DEL CAFE FASE VEGETATIVA DEL CAF<U+FFFD>Etapas"
"31","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Recoleccion tradicional."
"32","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Raselca II."
"33","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Mallas plasticas en piso."
"34","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Descafe."
"35","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Cifarelli SC 700."
"36","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Aspiradora multifuelle."
"37","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Cosecha. Tipos de recolecci<U+FFFD> de grano. Aroandes  III."
"38","Lombricultivo con Pulpa de Caf<U+FFFD> 2-Siembra de la Lombriz"
"39","Lombricultivo con Pulpa de Caf<U+FFFD> 4-Recolecci<U+FFFD> de los Productos (Lombrices y lombricompuestos)."
"40","Lombricultivo con Pulpa de Caf<U+FFFD> 1-Infraestructura"
"41","CULTIVO DE CAFE GENERALIDADES DEL CAFE MORFOLOG<U+FFFD> Flor Floraci<U+FFFD> zonas cafeteras"
"42","CULTIVO DE CAFE MANEJO Y PRODUCCI<U+FFFD> Preparaci<U+FFFD> del terreno Ahoyado"
"43","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Broca Control de la Broca Control biol<U+FFFD>ico"
"44","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Broca Caracter<U+FFFD>ticas de la Broca"
"45","ALTERNATIVAS DE BIOPREPARADOS Bioinsecticidas Soluci<U+FFFD> de Tabaco Fermentada"
"46","CULTIVO DE CAF<U+FFFD> COSECHA y POSCOSECHA Zaranda"
"47","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Almacigo."
"48","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL ENFERMEDADES DEL CAF<U+FFFD>Ojo de gallo o Gotera Control del Ojo de Gallo o Gotera Control qu<U+FFFD>ico"
"49","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL ENFERMEDADES DEL CAF<U+FFFD>Ojo de gallo o Gotera Caracter<U+FFFD>ticas del Ojo de Gallo o Gotera"
"50","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Preparaci<U+FFFD> del terreno. Ahoyado."
"51","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Chinche de la Chamusquina Caracter<U+FFFD>ticas del Chinche de la Chamusquina"
"52","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Minador Caracter<U+FFFD>ticas del Minador"
"53","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Nematodos Caracter<U+FFFD>ticas de los Nem<U+FFFD>odos"
"54","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Cochinilla Control de la Cochinilla Control cultural"
"55","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Cochinilla Caracter<U+FFFD>ticas de la Cochinilla"
"56","CULTIVO DE CAF<U+FFFD> COSECHA y POSCOSECHA Recolecci<U+FFFD> Tipos de Recolecci<U+FFFD> Recolecci<U+FFFD> Mec<U+FFFD>ica Cifarelli SC 700"
"57","CULTIVO DE CAF<U+FFFD> COSECHA y POSCOSECHA Recolecci<U+FFFD> Tipos de Recolecci<U+FFFD> Recolecci<U+FFFD> Manual M<U+FFFD>odo tradicional"
"58","CULTIVO DE CAF<U+FFFD> COSECHA y POSCOSECHA Recolecci<U+FFFD> Tipos de Recolecci<U+FFFD> Recolecci<U+FFFD> Manual Metodo Aroandes"
"59","CULTIVO DE CAF<U+FFFD> COSECHA y POSCOSECHA Recolecci<U+FFFD> Tipos de Recolecci<U+FFFD> Recolecci<U+FFFD> Manual M<U+FFFD>odo mejorado"
"60","CULTIVO DE CAF<U+FFFD> GENERALIDADES DEL CAF<U+FFFD> FASE REPRODUCTIVA DEL CAF<U+FFFD> Generalidades."
"61","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Densidad. Generalidades."
"62","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Fertilizaci<U+FFFD>. Fertilizaci<U+FFFD> Org<U+FFFD>ica. Importante."
