"","x"
"1","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes BIOL"
"2","FORMAS DE ACCIÓN DE LOS BIOPREPARADOS"
"3","CULTIVO DE CAFÉ CAFÉ ESPECIALES Sellos de  CaféEspecial en el Mundo  CaféEspecial - Verificaciones Características de la Verificación Starbucks - Cafe Practices"
"4","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"5","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"6","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"7","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"8","ALTERNATIVAS DE BIOPREPARADOS Biofungicidas Infusión de Manzanilla"
"9","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Humus Líquido"
"10","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Purín Fermentado de Ortiga"
"11","CULTIVO DE CAFÉ CAFÉ ESPECIALES Sellos de  CaféEspecial en el Mundo  CaféEspecial - Sostenible  CaféEspecial - Amigables con las Aves Requisitos"
"12","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL ENFERMEDADES DEL CAFÉLlagas Características de Llagas"
"13","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL ENFERMEDADES DEL CAFÉColletotrichum sp. Características del Colletotrichum sp."
"14","ALTERNATIVAS DE BIOPREPARADOS Bioinsecticidas Infusión de Ruda y Hojas de Salvia"
"15","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"16","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉMinador Control del Minador Control químico"
"17","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉBabosas Control de la Babosa Control químico"
"18","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉBabosas Características de la Babosa"
"19","ALTERNATIVAS DE BIOPREPARADOS Bioestimulante Enraizador Bioestimulante Dinamizador para Enraizamiento"
"20","CULTIVO DE CAFÉ MANEJO Y PRODUCCIÓN. Fertilización. Importante."
"21","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Manejo de suelos"
"22","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"23","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"24","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Fertilización"
"25","CULTIVO DE CAFÉ MANEJO Y PRODUCCIÓN. Fertilización. Fertilización Química. Fertilización en Producción."
"26","FACTOR DE RENDIMIENTO Test modificado 3"
"27","Descripción General y Construcción"
"28","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"29","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"30","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"31","Datos Importantes de la trampa"
"32","CULTIVO DE CAFÉ REQUERIMIENTOS DEL CULTIVO DE CAFÉ Sitio. Suelos."
"33","CULTIVO DE CAFÉ REQUERIMIENTOS DEL CULTIVO DE CAFÉ Sitio. Clima."
"34","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"35","CULTIVO DE CAFÉ GENERALIDADES DEL CAFÉ MORFOLOGÍA. Flor. Floración zonas cafeteras"
"36","CULTIVO DE CAFÉ GENERALIDADES DEL CAFÉ ORIGEN DEL CAFÉ"
"37","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉPalomillas Control de la Palomilla Control químico"
"38","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Fertilización"
"39","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"40","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Definiciones y Conceptos"
"41","CULTIVO DE CAFÉ CAFÉ ESPECIALES Sellos de  CaféEspecial en el Mundo  CaféEspecial - Sostenible  CaféEspecial - Comercio Justo Características del  caféComercio Justo"
"42","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Aplastado"
"43","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"44","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL ENFERMEDADES DEL CAFÉRoya Características de la Roya"
"45","CULTIVO DE CAFE GENERALIDADES DEL CAFE TAXONOMÍA DEL CAFE"
"46","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"47","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Definiciones y Conceptos"
"48","CULTIVO DE CAFÉ CAFÉ ESPECIALES  Café Especiales  CaféDescafeinado"
"49","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"50","CULTIVO DE CAFE GENERALIDADES DEL CAFE ORIGEN DEL CAFE"
"51","CULTIVO DE CAFÉ REQUERIMIENTOS DEL CULTIVO DE CAFÉ Competencia del  café Arvenses."
"52","CULTIVO DE CAFE GENERALIDADES DEL CAFE FASE VEGETATIVA DEL CAFÉGeneralidades"
"53","CULTIVO DE CAFE GENERALIDADES DEL CAFE FASE VEGETATIVA DEL CAFÉEtapas"
"54","CULTIVO DE CAFÉ REQUERIMIENTOS DEL CULTIVO DE CAFÉ Cosecha. Tipos de recolección de grano. Recoleccion tradicional."
"55","CULTIVO DE CAFÉ REQUERIMIENTOS DEL CULTIVO DE CAFÉ Cosecha. Tipos de recolección de grano. Raselca II."
"56","CULTIVO DE CAFÉ REQUERIMIENTOS DEL CULTIVO DE CAFÉ Cosecha. Tipos de recolección de grano. Mallas plasticas en piso."
"57","CULTIVO DE CAFÉ REQUERIMIENTOS DEL CULTIVO DE CAFÉ Cosecha. Tipos de recolección de grano. Descafe."
"58","CULTIVO DE CAFÉ REQUERIMIENTOS DEL CULTIVO DE CAFÉ Cosecha. Tipos de recolección de grano. Cifarelli SC 700."
"59","CULTIVO DE CAFÉ REQUERIMIENTOS DEL CULTIVO DE CAFÉ Cosecha. Tipos de recolección de grano. Aspiradora multifuelle."
"60","CULTIVO DE CAFÉ REQUERIMIENTOS DEL CULTIVO DE CAFÉ Cosecha. Tipos de recolección de grano. Aroandes  III."
"61","Lombricultivo con Pulpa de  Café 2-Siembra de la Lombriz"
"62","Lombricultivo con Pulpa de  Café 4-Recolección de los Productos (Lombrices y lombricompuestos)."
"63","Lombricultivo con Pulpa de  Café 1-Infraestructura"
"64","CULTIVO DE CAFE GENERALIDADES DEL CAFE ORIGEN DEL CAFE"
"65","CULTIVO DE CAFE GENERALIDADES DEL CAFE ORIGEN DEL CAFE"
"66","CULTIVO DE CAFE GENERALIDADES DEL CAFE MORFOLOGÍA Flor Floración zonas cafeteras"
"67","CULTIVO DE CAFE MANEJO Y PRODUCCIÓN Preparación del terreno Ahoyado"
"68","Best Practices Fertlization"
"69","Best Practices Pruning"
"70","Best Practices Fertlization"
"71","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Manejo de suelos"
"72","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"73","Descripción General y Construcción"
"74","Descripción General y Construcción"
"75","Descripción General y Construcción"
"76","Datos Importantes de la trampa"
"77","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Decolorado Reposado"
"78","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Negro total o parcial"
"79","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Averanado o Arrugado"
"80","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Cristalizado"
"81","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Vinagre o Parcialmente Vinagre"
"82","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Aplastado"
"83","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Aplastado"
"84","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Aplastado"
"85","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"86","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉBroca Control de la Broca Control biológico"
"87","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉBroca Características de la Broca"
"88","CULTIVO DE CAFÉ CAFÉ ESPECIALES Sellos de  CaféEspecial en el Mundo  CaféEspecial - Sostenible  CaféEspecial - Amigables con las Aves Requisitos"
"89","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Fertilización"
"90","ALTERNATIVAS DE BIOPREPARADOS Bioinsecticidas Solución de Tabaco Fermentada"
"91","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"92","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"93","CULTIVO DE CAFÉ CAFÉ ESPECIALES Sellos de  CaféEspecial en el Mundo  CaféEspecial - Verificaciones Características de la Verificación Starbucks - Cafe Practices"
"94","CULTIVO DE CAFÉ COSECHA y POSCOSECHA Zaranda"
"95","CULTIVO DE CAFÉ MANEJO Y PRODUCCIÓN. Almacigo."
"96","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Fertilización"
"97","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL ENFERMEDADES DEL CAFÉOjo de gallo o Gotera Control del Ojo de Gallo o Gotera Control químico"
"98","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL ENFERMEDADES DEL CAFÉOjo de gallo o Gotera Características del Ojo de Gallo o Gotera"
"99","CULTIVO DE CAFÉ MANEJO Y PRODUCCIÓN. Preparación del terreno. Ahoyado."
"100","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉChinche de la Chamusquina Características del Chinche de la Chamusquina"
"101","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉMinador Características del Minador"
"102","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉNematodos Características de los Nemátodos"
"103","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉCochinilla Control de la Cochinilla Control cultural"
"104","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉCochinilla Características de la Cochinilla"
"105","CULTIVO DE CAFÉ COSECHA y POSCOSECHA Recolección Tipos de Recolección Recolección Mecánica Cifarelli SC 700"
"106","CULTIVO DE CAFÉ COSECHA y POSCOSECHA Recolección Tipos de Recolección Recolección Manual Método tradicional"
"107","CULTIVO DE CAFÉ COSECHA y POSCOSECHA Recolección Tipos de Recolección Recolección Manual Metodo Aroandes"
"108","CULTIVO DE CAFÉ COSECHA y POSCOSECHA Recolección Tipos de Recolección Recolección Manual Método mejorado"
"109","CULTIVO DE CAFÉ GENERALIDADES DEL CAFÉ FASE REPRODUCTIVA DEL CAFÉ Generalidades."
"110","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"111","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"112","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"113","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Flojo"
"114","ALTERNATIVAS DE BIOPREPARADOS Bioinsecticidas Extracto de Marco o Altamisa (Ambrosia arborescens)."
"115","ALTERNATIVAS DE BIOPREPARADOS Bioinsecticidas Extracto de Raices de Marigol o Rosa Amarilla (Tagetes erecta)."
"116","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"117","CULTIVO DE CAFÉ REQUERIMIENTOS DEL CULTIVO DE CAFÉ Densidad. Generalidades."
"118","CULTIVO DE CAFÉ REQUERIMIENTOS DEL CULTIVO DE CAFÉ Densidad. Generalidades."
"119","CULTIVO DE CAFÉ MANEJO Y PRODUCCIÓN. Fertilización. Fertilización Orgánica. Importante."
"120","CULTIVO DE CAFÉ MANEJO Y PRODUCCIÓN. Fertilización. Fertilización Orgánica. Establecimiento y Producción del  café"
"121","CULTIVO DE CAFÉ MANEJO Y PRODUCCIÓN. Fertilización. Fertilización Orgánica. En Almacigos."
"122","ALTERNATIVAS DE BIOPREPARADOS Biofungicidas Decocción de Cola de Caballo"
"123","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Biol"
"124","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Extracto de Ortiga"
"125","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Biofertilizante Liquido Enriquecido"
"126","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"127","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"128","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Decolorado Ámbar o Cardenillo"
"129","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"130","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"131","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Pasta Fertilizante para Tronco de Frutales (Biodinámico)"
"132","ALTERNATIVAS DE BIOPREPARADOS Bioinsecticidas Extracto de Marco o Altamisa (Ambrosia arborescens)."
"133","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Biol"
"134","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Fertilizante Enriquecido Super Magro"
"135","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Humus Líquido"
"136","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"137","CULTIVO DE CAFÉ CAFÉ ESPECIALES  Café Especiales Definición de  CaféEspecial"
"138","CULTIVO DE CAFÉ MANEJO Y PRODUCCIÓN. Fertilización. Fertilización Orgánica. En Almacigos."
"139","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Protección del cafetal"
"140","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Fertilización"
"141","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Definiciones y Conceptos"
"142","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉBroca Control de la Broca Control biológico"
"143","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉBroca Control de la Broca Control cultural"
"144","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉBroca Control de la Broca Control químico"
"145","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉBroca Características de la Broca"
"146","CULTIVO DE CAFÉ CAFÉ ESPECIALES  Café Especiales  CaféDescafeinado"
"147","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Análisis del Riesgo Lista de chequeo, identificación, análisis y evaluación de riesgos y plan de acci<U+FFFD> y seguimiento. Riesgos de seguridad"
"148","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Análisis del Riesgo Identificación del riesgo"
"149","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Análisis del Riesgo Identificación del riesgo"
"150","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Análisis del Riesgo Identificación del riesgo"
"151","CULTIVO DE CAFÉ CAFÉ ESPECIALES  Café Especiales Definición de  CaféEspecial"
"152","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉArañita Roja Control de la Arañita Roja Control químico"
"153","CULTIVO DE CAFÉ SANIDAD DEL CAFETAL PLAGAS DEL CAFÉArañita Roja Control de la Arañita Roja Control biológico"
"154","CULTIVO DE CAFÉ REQUERIMIENTOS DEL CULTIVO DE CAFÉ Cosecha. Tipos de recolección de grano. Aspiradora multifuelle."
"155","CULTIVO DE CAFÉ MANEJO Y PRODUCCIÓN. Almacigo."
"156","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Definiciones y Conceptos"
"157","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Definiciones y Conceptos"
"158","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Fertilización"
"159","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Definiciones y Conceptos"
"160","CULTIVO DE CAFÉ BUENAS PRÁCTICAS AGRÍCOLAS BPAs - Evaluación Riesgos"
"161","Best Practices Pruning"
"162","Ensilaje de Pulpa de Cafe Descripción del Proceso de Ensilaje"
"163","Ensilaje de Pulpa de Cafe 2 - Tipo de Silo"
"164","Ensilaje de Pulpa de Cafe 1- Caracteristicas de la Pulpa"
"165","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"166","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Aplastado"
"167","CULTIVO DE CAFÉ MANEJO Y PRODUCCIÓN. Fertilización. Importante."
"168","CULTIVO DE CAFÉ MANEJO Y PRODUCCIÓN. Germinador."
