"","Id","Query__c"
"1","a1D36000003y8onEAA","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes BIOL"
"2","a1D36000003y8oJEAQ","FORMAS DE ACCI<U+FFFD> DE LOS BIOPREPARADOS"
"3","a1D36000005CtgTEAS","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Sellos de Caf<U+FFFD>Especial en el Mundo Caf<U+FFFD>Especial - Verificaciones Caracter<U+FFFD>ticas de la Verificaci<U+FFFD> Starbucks - Cafe Practices"
"4","a1D36000005CtgUEAS","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"5","a1D36000005CtgVEAS","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"6","a1D36000005CtgWEAS","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"7","a1D36000005CtgXEAS","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"8","a1D36000003y9GcEAI","ALTERNATIVAS DE BIOPREPARADOS Biofungicidas Infusi<U+FFFD> de Manzanilla"
"9","a1D36000003y8szEAA","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Humus L<U+FFFD>uido"
"10","a1D36000003y9AeEAI","ALTERNATIVAS DE BIOPREPARADOS Biofertilizantes Pur<U+FFFD> Fermentado de Ortiga"
"11","a1D36000003wmLtEAI","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Sellos de Caf<U+FFFD>Especial en el Mundo Caf<U+FFFD>Especial - Sostenible Caf<U+FFFD>Especial - Amigables con las Aves Requisitos"
"12","a1D36000005CcndEAC","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL ENFERMEDADES DEL CAF<U+FFFD>Llagas Caracter<U+FFFD>ticas de Llagas"
"13","a1D36000005CcneEAC","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL ENFERMEDADES DEL CAF<U+FFFD>Colletotrichum sp. Caracter<U+FFFD>ticas del Colletotrichum sp."
"14","a1D36000005C8a2EAC","ALTERNATIVAS DE BIOPREPARADOS Bioinsecticidas Infusi<U+FFFD> de Ruda y Hojas de Salvia"
"15","a1D36000005C8a3EAC","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"16","a1D36000005C8a4EAC","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Minador Control del Minador Control qu<U+FFFD>ico"
"17","a1D36000005C8a5EAC","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Babosas Control de la Babosa Control qu<U+FFFD>ico"
"18","a1D36000005C8a6EAC","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Babosas Caracter<U+FFFD>ticas de la Babosa"
"19","a1D36000005CSzCEAW","ALTERNATIVAS DE BIOPREPARADOS Bioestimulante Enraizador Bioestimulante Dinamizador para Enraizamiento"
"20","a1D36000005CSzDEAW","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Fertilizaci<U+FFFD>. Importante."
"21","a1D36000005CSzEEAW","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Manejo de suelos"
"22","a1D36000005CSzFEAW","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"23","a1D36000005CSzGEAW","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"24","a1D36000005CSijEAG","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Fertilizaci<U+FFFD>"
"25","a1D36000005CSikEAG","CULTIVO DE CAF<U+FFFD> MANEJO Y PRODUCCI<U+FFFD>. Fertilizaci<U+FFFD>. Fertilizaci<U+FFFD> Qu<U+FFFD>ica. Fertilizaci<U+FFFD> en Producci<U+FFFD>."
"26","a1D36000003woOuEAI","FACTOR DE RENDIMIENTO Test modificado 3"
"27","a1D36000003ymTbEAI","Descripci<U+FFFD> General y Construcci<U+FFFD>"
"28","a1D36000003ySZ3EAM","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"29","a1D36000003ySZ4EAM","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"30","a1D36000003yGMSEA2","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"31","a1D36000003yGMTEA2","Datos Importantes de la trampa"
"32","a1D36000003yGMUEA2","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Sitio. Suelos."
"33","a1D36000003yGMVEA2","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Sitio. Clima."
"34","a1D36000005CqpzEAC","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"35","a1D36000003UsHWEA0","CULTIVO DE CAF<U+FFFD> GENERALIDADES DEL CAF<U+FFFD> MORFOLOG<U+FFFD>. Flor. Floraci<U+FFFD> zonas cafeteras"
"36","a1D36000003UsHXEA0","CULTIVO DE CAF<U+FFFD> GENERALIDADES DEL CAF<U+FFFD> ORIGEN DEL CAF<U+FFFD>"
"37","a1D36000003yYZDEA2","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL PLAGAS DEL CAF<U+FFFD>Palomillas Control de la Palomilla Control qu<U+FFFD>ico"
"38","a1D36000003y06tEAA","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Fertilizaci<U+FFFD>"
"39","a1D36000003y06uEAA","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"40","a1D36000003y06vEAA","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Definiciones y Conceptos"
"41","a1D36000003y06wEAA","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Sellos de Caf<U+FFFD>Especial en el Mundo Caf<U+FFFD>Especial - Sostenible Caf<U+FFFD>Especial - Comercio Justo Caracter<U+FFFD>ticas del caf<U+FFFD>Comercio Justo"
"42","a1D36000003y06xEAA","FACTOR DE RENDIMIENTO Tipo de Almendras Defectuosas Aplastado"
"43","a1D36000003y06yEAA","FACTOR DE RENDIMIENTO Que es el Factor de Rendimiento?"
"44","a1D36000003y06zEAA","CULTIVO DE CAF<U+FFFD> SANIDAD DEL CAFETAL ENFERMEDADES DEL CAF<U+FFFD>Roya Caracter<U+FFFD>ticas de la Roya"
"45","a1D36000003UqV4EAK","CULTIVO DE CAFE GENERALIDADES DEL CAFE TAXONOM<U+FFFD> DEL CAFE"
"46","a1D36000003yaK3EAI","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"47","a1D36000003y0AxEAI","CULTIVO DE CAF<U+FFFD> BUENAS PR<U+FFFD>CTICAS AGR<U+FFFD>OLAS BPAs - Definiciones y Conceptos"
"48","a1D36000003woTLEAY","CULTIVO DE CAF<U+FFFD> CAF<U+FFFD> ESPECIALES Caf<U+FFFD> Especiales Caf<U+FFFD>Descafeinado"
"49","a1D36000003woO6EAI","FACTOR DE RENDIMIENTO Calculo del Factor de Rendimiento"
"50","a1D36000003UnRXEA0","CULTIVO DE CAFE GENERALIDADES DEL CAFE ORIGEN DEL CAFE"
"51","a1D36000003Ur82EAC","CULTIVO DE CAF<U+FFFD> REQUERIMIENTOS DEL CULTIVO DE CAF<U+FFFD> Competencia del caf<U+FFFD> Arvenses."
